question,choices,answer,level,subject
 This pricing approach is used when the firm sets prices according to how much customers are prepared to pay:,"['A. Cost-oriented approach.', 'B. Value-oriented approach.', 'C. Competitor-oriented approach.', 'D. Demand-oriented approach.']",D. Demand-oriented approach.,college,marketing
 _______________ is concerned with the development of knowledge that is specific to the parties involved and is referred to as 'learning together'.,"['A. Dialogue.', 'B. Personal influencer.', 'C. Feedback.', 'D. Message.']",A. Dialogue.,college,marketing
"These are chains of organizations that are concerned with the management of the processes and activities involved in creating and moving products from producers and manufacturers to end-user customers. The organizations involved with any one journey, are collectively termed as a:","['A. Distribution.', 'B. Vendor.', 'C. Communication.', 'D. Selling.']",A. Distribution.,college,marketing
This is a hierarchy of effects or sequential model used to explain how advertising works:,"['A. ADD.', 'B. AIDA.', 'C. PESTLE.', 'D. SWOT.']",B. AIDA.,college,marketing
 The differentiation of a firm's products or services to promote environmental responsibility is referred to as:,"['A. Social branding.', 'B. Eco-branding.', 'C. Me-too branding.', 'D. Brand personality.']",B. Eco-branding.,college,marketing
"________ is the process of marketing accomplished or facilitated via the use of Internet technologies (e.g. web, email, intranet, extranets, etc.).","['A. Internet marketing.', 'B. Search marketing.', 'C. E-marketing.', 'D. Mobile marketing.']",A. Internet marketing.,college,marketing
" An approach that encompasses a wide range of relationships, not just with customers, but also those that organizations develop with suppliers, regulators, government, competitors, employees, and others, is referred to as:","['A. Market exchanges.', 'B. Service failure.', 'C. Relationship marketing.', 'D. Shared responsibility.']",C. Relationship marketing.,college,marketing
 A person who is in the position of attempting to satisfy their needs at the most basic level is operating at the level of Maslow's needs hierarchy called the need for:,"['A. Self-actualization.', 'B. Esteem.', 'C. Physiological needs.', 'D. Belongingness.']",C. Physiological needs.,college,marketing
"________________reflect a purchaser's high level of involvement in the purchase decision. There is high perceived risk in these decisions so consumers spend a great deal of time, care, and energy searching, formulating, and making the final decision.","['A. Durable goods.', 'B. Non-durable goods.', 'C. Convenience products.', 'D. Services.']",A. Durable goods.,college,marketing
"Which of the following are valid intervals of convergence for a power series?
(I) [−1, 3)
(II) (−∞, 0]
(III) [2, 2] ∪ [3, 3]
(IV) (−∞,∞)","['A. Only (II)', 'B. Only (IV )', 'C. (I) and (IV )', 'D. (II) and (III)']",C. (I) and (IV ),college,mathematics
Sofia and Tess will each randomly choose one of the 10 integers from 1 to 10. What is the probability that neither integer chosen will be the square of the other?,"['A. 0.64', 'B. 0.72', 'C. 0.81', 'D. 0.95']",D. 0.95,college,mathematics
"If f : (0, 1) → (0, 1], then which of the following could be TRUE?
I. f is one-to-one and onto.
II. The image of f is compact.
III. f is continuous, one-to-one, and onto.","['A. I only', 'B. II only', 'C. I and II only', 'D. I and III only']",C. I and II only,college,mathematics
The map x -> axa^2 of a group G into itself is a homomorphism if and only if,"['A. G is abelian', 'B. G = {e}', 'C. a^3 = e', 'D. a^2 = a']",C. a^3 = e,college,mathematics
Statement 1 |  Suppose ∑|a_i| diverges and ∑ a_i = 2. There is a rearrangement a_i_k of the terms such that ∑ a_i_k = 4. Statement 2 | There exists metric spaces X and Y with X closed and bounded and a continuous mapping f : X → Y such that f(X) is NOT “closed and bounded”.,"['A. True, True', 'B. True, False', 'C. False, True', 'D. False, False']","A. True, True",college,mathematics
"If one arch of the curve y = sin x is revolved around the x-axis, what's the volume of the generated solid?","['A. π^2 / 4', 'B. π^2 / 2', 'C. 2π', 'D. π^2']",B. π^2 / 2,college,mathematics
"Let x_1 = 1 and x_(n+1) = sqrt(3+2x_n) for all positive integers n. If it is assumed that {x_n} converges, then lim x_n =","['A. 3', 'B. e', 'C. sqrt(5)', 'D. 0']",A. 3,college,mathematics
"k digits are to be chosen at random (with repetitions allowed) from {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}. What is the probability that 0 will not be chosen?","['A. (9/10)^k', 'B. (1/10)^k', 'C. (k-1)/k', 'D. 1/10']",A. (9/10)^k,college,mathematics
Which of the following circles has the greatest number of points of intersection with the parabola x^2 = y + 4 ?,"['A. x^2 + y^2 = 1', 'B. x^2 + y^2 = 2', 'C. x^2 + y^2 = 9', 'D. x^2 + y^2 = 16']",C. x^2 + y^2 = 9,college,mathematics
"What is the volume of the solid in xyz-space bounded by the surfaces y = x^2, y = 2 - x^2, z = 0, and z = y + 3?","['A. 8/3', 'B. 16/3', 'C. 32/3', 'D. 104/105']",C. 32/3,college,mathematics
"S(n) is a statement about positive integers n such that whenever S(k) is true, S(k + 1) must also be true. Furthermore, there exists some positive integer n0 such that S(n0) is not true. Of the following, which is the strongest conclusion that can be drawn?","['A. S(n0 + 1) is not true.', 'B. S(n0 - 1) is not true.', 'C. S(n) is not true for any n <= n0', 'D. S(n) is not true for any n >= n0']",C. S(n) is not true for any n <= n0,college,mathematics
"In the xy-plane, the graph of x^(log y) = y^log x is","['A. the open first quadrant', 'B. a closed curve', 'C. a ray in the open first quadrant', 'D. a single point']",A. the open first quadrant,college,mathematics
"Let R be a ring and let U and V be (two-sided) ideals of R. Which of the following must also be ideals of R ?
I. {u + v : u \in and v \in V}
II. {uv : u \in U and v \in V}
III. {x : x \in U and x \in V}","['A. II only', 'B. III only', 'C. I and II only', 'D. I and III only']",D. I and III only,college,mathematics
"Let I != A != -I, where I is the identity matrix and A is a real 2 x 2 matrix. If A = A^(-1), then the trace of A is","['A. 2', 'B. 1', 'C. 0', 'D. -1']",C. 0,college,mathematics
"Suppose X is a discrete random variable on the set of positive integers such that for each positive integer n, the probability that X = n is 1/2^n. If Y is a random variable with the same probability distribution and X and Y are independent, what is the probability that the value of at least one of the variables X and Y is greater than 3 ?","['A. 1/64', 'B. 15/64', 'C. 1/4', 'D. 3/8']",B. 15/64,college,mathematics
"In general, the higher the intensity of exercise, the greater the proportional contribution of:","['A. aerobic energy production.', 'B. anaerobic energy production.', ""C. the TCA cycle (Krebs' cycle) to the production of ATP."", 'D. the electron transfer chain to the production of ATP.']",B. anaerobic energy production.,college,medicine
"A psychology study run on a college campus was set up right outside of the gym on a weekday. Chocolate chip cookies were offered right outside the door, and then a sign was placed 15 feet further down the hall that asked people to avoid using the stairs, forcing them to go around in a longer hallway. There were no barriers to using the stairs other than the sign. The results returned, and it showed that individuals who took a sweet from the tray were twice as likely to use the longer hallway as individuals who refused. This is an example of what psychological concept?","['A. Learned helplessness', 'B. Insecure attachment', 'C. Ego depletion', 'D. Tyranny of choice']",C. Ego depletion,college,medicine
"A certain molecule acts by binding to cytochrome oxidase A3, the final enzyme in the electron transport chain. Administration of a large dose of this substance to a human would likely:","['A. Lead to death due to an inability of the cell to pass electrons to oxygen, thus stopping aerobic respiration and asphyxiating the cells.', 'B. Lead to death due to an inadequate supply of ADP to accept a phosphate group at the ATP synthase enzyme.', 'C. Have no effect as cells would switch which macronutrient they metabolize to circumvent the blocked biochemical pathway.', 'D. Increase the cell’s ATP production as negative feedback would cause the cell to up-regulate anaerobic pathways.']","A. Lead to death due to an inability of the cell to pass electrons to oxygen, thus stopping aerobic respiration and asphyxiating the cells.",college,medicine
"Cystic Fibrosis (CF) patients often have a loss of pancreas activity during their adolescent years. Loss of which enzyme, if isolated would lead to the most extensive effects on nutrient absorption?","['A. Lipase', 'B. Elastinogen', 'C. Trypsinogen', 'D. Carboxypeptidase']",C. Trypsinogen,college,medicine
"A patient comes into the ER looking extremely agitated. They are acting aggressive, and claiming they need medication or “bad things will happen”. What is the likely state of this patient’s dopamine system?","['A. There is decreased dopamine in the synaptic cleft.', 'B. There are decreased dopamine receptors on the post-synaptic membrane.', 'C. There is cell death in the areas with high dopamine cells.', 'D. There is seizure-like activity in the dopamine brain areas.']",B. There are decreased dopamine receptors on the post-synaptic membrane.,college,medicine
"A hedonic teenager of wayward morals, in one night, sequentially i) has consensual sexual intercourse with his sister, ii) leaves no tip at the bar, iii) has non-censual sexual relations with an unknown woman, and iv) vomits on the steps to the door of a local church. The teenager has violated society’s norms sequentially (to the greatest degree) on the order of:","['A. mores, mores, the law, mores', 'B. taboo, folkways, the law, and taboo', 'C. the law, folkways, folkways, and folkways', 'D. taboo, folkways, the law, and mores']","D. taboo, folkways, the law, and mores",college,medicine
Sodium bicarbonate ingestion improves middle distance running performance by:,"['A. elevating the pH and buffering capacity of the extracellular fluid allowing a faster efflux of hydrogen ions from muscle.', 'B. reducing the pH and buffering capacity of the extracellular fluid allowing a faster efflux of hydrogen ions from muscle.', 'C. elevating the pH and buffering capacity of the extracellular fluid allowing a faster influx of hydrogen ions into muscle.', 'D. elevating the pre-exercise muscle pH.']",A. elevating the pH and buffering capacity of the extracellular fluid allowing a faster efflux of hydrogen ions from muscle.,college,medicine
The process of translation requires the presence of:,"['A. mRNA, tRNA and ribosomes.', 'B. mRNA, ribosomes and RNA polymerase.', 'C. DNA, mRNA and RNA polymerase.', 'D. chromatin, DNA and amino acids.']","A. mRNA, tRNA and ribosomes.",college,medicine
Which of the following nucleotide bases is not found in RNA?,"['A. Thymine', 'B. Adenine', 'C. Uracil', 'D. Guanine']",A. Thymine,college,medicine
Approximately how many kJ of energy are expended if an athlete's steady-rate oxygen uptake averages 3.0 l/min for 5 minutes of exercise?,"['A. 60 kJ', 'B. 150 kJ', 'C. 300 kJ', 'D. 500 kJ']",C. 300 kJ,college,medicine
The sex of a child is dictated by the inheritance of:,"['A. the number of X chromosomes from the mother.', 'B. a recessive allele on the X chromosome.', 'C. a single Y chromosome from the mother.', 'D. a single Y chromosome from the father.']",D. a single Y chromosome from the father.,college,medicine
Fast-twitch fibres contain:,"['A. a relatively large number of mitochondria and low ATPase activity.', 'B. a relatively small number of mitochondria and low ATPase activity.', 'C. a relatively small number of mitochondria and high ATPase activity.', 'D. a relatively large number of mitochondria and high ATPase activity.']",C. a relatively small number of mitochondria and high ATPase activity.,college,medicine
"A race car attempting to jump a series of 8 buses is set up on a flat track with a ramp at the end. Engineers assigned to the project have determined that, in order to jump the buses, the car must reach a velocity of 130 km/h. If the distance of the track is 50m, at what rate must the car accelerate to reach this velocity?","['A. 13 m/s^2', 'B. 26 m/s^2', 'C. 7 m/s^2', 'D. 17 m/s^2']",A. 13 m/s^2,college,medicine
"Which of the following are steroid-based molecules?
I. Testosterone
II. Triglycerides
III. Progesterone
IV. DNA","['A. I only', 'B. I, II, and III', 'C. I and III', 'D. I, III, and IV']",C. I and III,college,medicine
The rate limiting enzyme of glycolysis is:,"['A. phosphorylase.', 'B. hexokinase.', 'C. pyruvate dehydrogenase.', 'D. phosphofructokinase.']",D. phosphofructokinase.,college,medicine
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I sang to the baby as it slept peacefully. Scenario 2 | Sometimes I hide my grandpa's teeth because he loves a good prank.","['A. Wrong, Wrong', 'B. Wrong, Not wrong', 'C. Not wrong, Wrong', 'D. Not wrong, Not wrong']","D. Not wrong, Not wrong",college,moral_scenarios
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I put my son in online classes because the local public school wasn't high-quality. Scenario 2 | I tried to assist a dementia patient at a nursing home.","['A. Wrong, Wrong', 'B. Wrong, Not wrong', 'C. Not wrong, Wrong', 'D. Not wrong, Not wrong']","D. Not wrong, Not wrong",college,moral_scenarios
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I give customers I don't like a neutral expression. Scenario 2 | When my mother cut herself badly while washing dishes, I giggled.","['A. Wrong, Wrong', 'B. Wrong, Not wrong', 'C. Not wrong, Wrong', 'D. Not wrong, Not wrong']","C. Not wrong, Wrong",college,moral_scenarios
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I took pictures of her was she was in the shower. Scenario 2 | I knocked over a standing stone at Stonehenge.","['A. Wrong, Wrong', 'B. Wrong, Not wrong', 'C. Not wrong, Wrong', 'D. Not wrong, Not wrong']","A. Wrong, Wrong",college,moral_scenarios
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | There were only 2 life jackets on the boat, so I made sure my 2 kids each had one. Scenario 2 | I found a wallet in the park and returned it to the owner.","['A. Wrong, Wrong', 'B. Wrong, Not wrong', 'C. Not wrong, Wrong', 'D. Not wrong, Not wrong']","D. Not wrong, Not wrong",college,moral_scenarios
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | My sister's bangs are crooked, so I will cut them straight. Scenario 2 | I ironed my sons clothes for his school dance.","['A. Wrong, Wrong', 'B. Wrong, Not wrong', 'C. Not wrong, Wrong', 'D. Not wrong, Not wrong']","D. Not wrong, Not wrong",college,moral_scenarios
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I cut the bar patron off because he had to drive home. Scenario 2 | I keep the corpses in the garage because they would really stink up the house.","['A. Wrong, Wrong', 'B. Wrong, Not wrong', 'C. Not wrong, Wrong', 'D. Not wrong, Not wrong']","C. Not wrong, Wrong",college,moral_scenarios
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I told people that vaccines caused autism so I could sell them snake oil. Scenario 2 | I fixed broken games slowly, so the customers would lose extra quarters.","['A. Wrong, Wrong', 'B. Wrong, Not wrong', 'C. Not wrong, Wrong', 'D. Not wrong, Not wrong']","A. Wrong, Wrong",college,moral_scenarios
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I borrowed a book and took photos of some pages to remember them. Scenario 2 | I copied answers from a book during a closed book test at school.","['A. Wrong, Wrong', 'B. Wrong, Not wrong', 'C. Not wrong, Wrong', 'D. Not wrong, Not wrong']","C. Not wrong, Wrong",college,moral_scenarios
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I wanted the white students in my college class to feel guilt for slavery so I had them put on chains and shackles and had them sing a slave song. Scenario 2 | I killed the child's hunger.","['A. Wrong, Wrong', 'B. Wrong, Not wrong', 'C. Not wrong, Wrong', 'D. Not wrong, Not wrong']","B. Wrong, Not wrong",college,moral_scenarios
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I put the metal pieces into the washing machine. Scenario 2 | I poured a cup of hot coffee for my baby.","['A. Wrong, Wrong', 'B. Wrong, Not wrong', 'C. Not wrong, Wrong', 'D. Not wrong, Not wrong']","A. Wrong, Wrong",college,moral_scenarios
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I answered the phone and hung up as soon as I heard the telemarketer start talking. Scenario 2 | I blew cigarette smoke towards the child's face.","['A. Wrong, Wrong', 'B. Wrong, Not wrong', 'C. Not wrong, Wrong', 'D. Not wrong, Not wrong']","C. Not wrong, Wrong",college,moral_scenarios
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I went to the bank to cash a check with my own name on it. Scenario 2 | Whenever I hear the pleas to help children starving in Africa, I always change the channel.","['A. Wrong, Wrong', 'B. Wrong, Not wrong', 'C. Not wrong, Wrong', 'D. Not wrong, Not wrong']","D. Not wrong, Not wrong",college,moral_scenarios
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I voted for the man who was innocent Scenario 2 | Me and my sister had a close sexual relationship.","['A. Wrong, Wrong', 'B. Wrong, Not wrong', 'C. Not wrong, Wrong', 'D. Not wrong, Not wrong']","C. Not wrong, Wrong",college,moral_scenarios
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I washed my son's bed sheets with bleach. Scenario 2 | I tested out my laser pointer by aiming it at a helicopter.","['A. Wrong, Wrong', 'B. Wrong, Not wrong', 'C. Not wrong, Wrong', 'D. Not wrong, Not wrong']","C. Not wrong, Wrong",college,moral_scenarios
"What type of diet is recommended for weight maintenance?
","['A. Low protein and low GI', 'B. High protein and high GI', 'C. Low protein and high GI', 'D. High protein and low GI']",D. High protein and low GI,college,nutrition
"The following amino acids are all essential components of the diet:
","['A. leucine, methionine and threonine', 'B. proline, tyrosine and serine', 'C. valine, glycine and arginine', 'D. leucine, cysteine and glycine']","A. leucine, methionine and threonine",college,nutrition
"Which one of the following is a definition of glycaemic index?
","['A. The increase in blood glucose concentration after consuming the food.', 'B. The increase in blood glucose concentration after consuming the food compared with that after consuming an equivalent amount of white bread.', 'C. The increase in blood insulin concentration after consuming the food.', 'D. The increase in blood insulin concentration after consuming the food compared with that after consuming an equivalent amount of white bread.']",B. The increase in blood glucose concentration after consuming the food compared with that after consuming an equivalent amount of white bread.,college,nutrition
"These factors increase risk of osteoporotic fracture:
","['A. High bone mineral density', 'B. High body weight', 'C. High lean mass', 'D. Poor muscle strength']",D. Poor muscle strength,college,nutrition
"Which of the following are the recommended blood pressure and lipid goals for the prevention of cardiovascular disease in adults with diabetes?
","['A. BP < 140/90, Trig <150, LDL < 100', 'B. BP < 130/85, Trig < 300, LDL < 100', 'C. BP < 135/80, Trig < 200, LDL < 130', 'D. BP < 130/80, Trig <150, LDL < 100']","D. BP < 130/80, Trig <150, LDL < 100",college,nutrition
"What are the main enzyme systems for catalysing ethanol to acetaldehyde?
","['A. Alcohol dehydrogenase (ADH)', 'B. Catalase', 'C. Alcohol dehydrogenase (ADH), cytochrome P450 2E1 (CYP2EI), catalase', 'D. cytochrome P450 2E1 (CYP2EI)']","C. Alcohol dehydrogenase (ADH), cytochrome P450 2E1 (CYP2EI), catalase",college,nutrition
"Which of the following is not a reason for increased risk of vitamin or mineral deficiencies among older people in high income countries?
","['A. Low income so decreased ability to purchase nutrient-rich foods', 'B. Decreased mobility and little time spend outdoors in the sunshine', 'C. Decreased intrinsic factor in the stomach', 'D. High nutrient requirements for tissue turnover']",D. High nutrient requirements for tissue turnover,college,nutrition
"Which vitamin is required for synthesis of the blood clotting proteins?
","['A. Vitamin A', 'B. Vitamin D', 'C. Vitamin E', 'D. Vitamin K']",D. Vitamin K,college,nutrition
"For Binge Eating Disorder it is incorrect that:
","['A. Binge Eating episodes in BED are usually richer in calories than those of BN, leading patients to obesity', 'B. BED patients have higher odds of developing obesity', 'C. Bariatric surgery can be considered a treatment option for mild cases', 'D. Spontaneous remission is a possible outcome']","A. Binge Eating episodes in BED are usually richer in calories than those of BN, leading patients to obesity",college,nutrition
"Doses of substances used in animal toxicity studies are usually many times greater than those experienced by people because:
","['A. Animals are generally much less sensitive than people', 'B. Such tests can detect only very large risks because of the fact that only small numbers of animals can be used', 'C. It is difficult in such studies to determine whether the observed toxic effects were caused by the substance', 'D. It is the only way to ensure results are applicable to people']",B. Such tests can detect only very large risks because of the fact that only small numbers of animals can be used,college,nutrition
"Crohn's disease:
","['A. Always affects the colon', 'B. May lead to intestinal obstruction', 'C. Is best treated surgically', 'D. Requires a gluten free diet']",B. May lead to intestinal obstruction,college,nutrition
"Which are the FIVE main series of apoproteins that have been identified?
","['A. apoA, apoB, apoC, apoD, and apoE', 'B. apoA, apo(a), apoB, apoC and apoE', 'C. apoA, apoB, apoC, apo E, and apoL', 'D. apoB, apoC, apoD, apoE and apoM']","B. apoA, apo(a), apoB, apoC and apoE",college,nutrition
"What role do women play in food security?
","['A. Their main role is preparing meals.', 'B. They play a central role as producers of food, managers of natural resources, income earners and caretakers of household nutrition.', 'C. They weed the fields, but never plough or plant them, as only men are strong enough for those activities.', 'D. Their efforts focus mainly on vegetable gardens and chickens; men are involved with cereal crops and larger livestock.']","B. They play a central role as producers of food, managers of natural resources, income earners and caretakers of household nutrition.",college,nutrition
"What is the estimated global prevalence of untreated dental caries?
","['A. 20%', 'B. 40%', 'C. 60%', 'D. 80%']",B. 40%,college,nutrition
"Which of the following statements about amino acid scoring for predicting protein quality in human nutrition is correct?
","['A. The amino acid score is calculated by comparing the amino acid pattern of the protein to that of egg protein.', 'B. The amino acid score is calculated by comparing the amino acid pattern of the protein to that of milk protein.', 'C. A single reference pattern is used to calculate the amino acid score for all ages', 'D. Different amino acid scoring patterns are used for different age groups.']",D. Different amino acid scoring patterns are used for different age groups.,college,nutrition
Aesthetics addresses questions that interest _____.,"['A. only philosophers', 'B. only critics', 'C. no one', 'D. philosophers and nonphilosophers']",D. philosophers and nonphilosophers,college,philosophy
"According to Aristotle, we should begin ethical inquiry by specifying:","['A. which things are intrinsically valuable.', 'B. the aim of human life.', 'C. what our fundamental duties are.', 'D. what constraints on behavior it would be reasonable to agree to.']",B. the aim of human life.,college,philosophy
Stevenson’s primary aim in this paper is to:,"['A. provide an account of what makes right actions right.', 'B. establish which things are good in themselves.', 'C. develop a theory of good moral character.', 'D. make ethical questions clear.']",D. make ethical questions clear.,college,philosophy
"One of the tasks of philosophy is to test conceptual frameworks for depth and consistency.  It does this through (1) expressing our ideas in clear, concise language and (2) supporting those ideas with reasons and with overcoming objections to them.  Philosophy thus emphasizes the need to:","['A. pose questions that can be resolved not by reasoning but only by faith or personal belief.', 'B. show why the beliefs adopted by most people in a culture are preferable since more people understand those beliefs and see no reason to raise objections to them.', 'C. articulate what we mean by our beliefs and to justify our beliefs by arguments.', 'D. develop a set of ideas about the nature of society (i.e., an ideology) that can be used to support a religious conceptual framework.']",C. articulate what we mean by our beliefs and to justify our beliefs by arguments.,college,philosophy
"In Hobbes’s view, to say something is good is to say that:","['A. it is conducive to human happiness.', 'B. you desire it.', 'C. most people desire it.', 'D. most people ought to desire it.']",B. you desire it.,college,philosophy
Mill defines “utility” as:,"['A. usefulness for some craft.', 'B. usefulness to society.', 'C. pleasure and the absence of pain.', 'D. it promotes the interests of all and does not harm anyone.']",C. pleasure and the absence of pain.,college,philosophy
"Moore claims that there is no meaning in saying that pleasure is good, unless:","['A. goodness and pleasure are the same thing.', 'B. good is something different than pleasure.', 'C. all good things are pleasant.', 'D. all pleasant things are good.']",B. good is something different than pleasure.,college,philosophy
What are the two principal answers to whether life has any meaning for us?,"['A. the external view and the internal view', ""B. the pessimist'sview and the optimist'sview"", 'C. the religious view and the liberal view', 'D. the theistic view and the agnostics view']",B. the pessimist'sview and the optimist'sview,college,philosophy
"According to Hobbes, without a common power to keep them in awe humans would exist in a state of:","['A. peace and harmony.', 'B. mutual indifference.', 'C. cautious mistrust.', 'D. war of every man against every man.']",D. war of every man against every man.,college,philosophy
"Craig argues that the series of events in time cannot be actually infinite, so we know that _____.","['A. the universe is finite in the past and began to exist', 'B. the universe is infinite in the past', 'C. the universe never is uncaused', 'D. the universe exists only in the mind']",A. the universe is finite in the past and began to exist,college,philosophy
"In Aquinas’s view, acts of prudence are solely about matters of:","['A. pleasure.', 'B. desire.', 'C. moral virtue.', 'D. piety.']",C. moral virtue.,college,philosophy
"According to Cicero, the most practical branch of philosophy deals with:","['A. logic.', 'B. natural science.', 'C. moral duties.', 'D. expedience.']",C. moral duties.,college,philosophy
"For Socrates, the soul is harmed by lack of _____.","['A. knowledge', 'B. wealth', 'C. community', 'D. courage']",A. knowledge,college,philosophy
"According to Kant, morality requires us to:","['A. perform the action that leads to the greatest total happiness.', 'B. act only on maxims that we can will to become universal laws.', 'C. behave only in such a way as a perfectly virtuous person would behave.', 'D. place the interests of others above the interests of ourselves.']",B. act only on maxims that we can will to become universal laws.,college,philosophy
"According to Socrates, an unexamined life is not worth living; and it certainly could not be a virtuous life.  Why not?","['A. Because if someone did not know how to act virtuously, he or she would still be considered virtuous by others who also did not know the principles for good living.', 'B. Because since Socrates was a philosopher, he of course thought that people who examined their lives philosophically were more virtuous than those who did not.', 'C. Because without knowing the rationale for why one should act in a particular way, one does not know whether actions are justified and ought to be repeated.', ""D. Because a virtuous life would be one in which someone does what the rest of the society says is right, and that means examining views other than one's own.""]","C. Because without knowing the rationale for why one should act in a particular way, one does not know whether actions are justified and ought to be repeated.",college,philosophy
The rest mass of a particle with total energy 5.0 GeV and momentum 4.9 GeV/c is approximately,"['A. 0.1 GeV/c^2', 'B. 0.2 GeV/c^2', 'C. 0.5 GeV/c^2', 'D. 1.0 GeV/c^2']",D. 1.0 GeV/c^2,college,physics
"A 3-microfarad capacitor is connected in series with a 6-microfarad capacitor. When a 300-volt potential difference is applied across this combination, the total energy stored in the two capacitors is","['A. 0.09 J', 'B. 0.18 J', 'C. 0.27 J', 'D. 0.41 J']",A. 0.09 J,college,physics
The sign of the charge carriers in a doped semiconductor can be deduced by measuring which of the following properties?,"['A. Specific heat', 'B. Thermal conductivity', 'C. Electrical resistivity', 'D. Hall coefficient']",D. Hall coefficient,college,physics
"Characteristic X rays, appearing as sharp lines on a continuous background, are produced when high-energy electrons bombard a metal target. Which of the following processes results in the characteristic X rays?","['A. Electrons producing Čerenkov radiation', 'B. Electrons colliding with phonons in the metal', 'C. Electrons filling inner shell vacancies that are created in the metal atoms', 'D. Electrons combining with protons to form neutrons']",C. Electrons filling inner shell vacancies that are created in the metal atoms,college,physics
The speed of light inside of a nonmagnetic dielectric material with a dielectric constant of 4.0 is,"['A. 1.2 x 10^9 m/s', 'B. 3.0 x 10^8 m/s', 'C. 1.5 x 10^8 m/s', 'D. 1.0 x 10^8 m/s']",C. 1.5 x 10^8 m/s,college,physics
"A particle decays in 2.0 ms in its rest frame. If the same particle moves at v=0.60c in the lab frame, how far will it travel in the lab before decaying?","['A. 150 m', 'B. 288 m', 'C. 360 m', 'D. 450 m']",D. 450 m,college,physics
"Under certain conditions, a beam of electrons impinging on a crystal surface will diffract and a scattering pattern of the beam can be obtained. What is the approximate kinetic energy of the electrons needed in order to see the pattern? (Assume the lattice spacing of the crystal to be 0.4 nm.)","['A. 0.1 eV', 'B. 1 eV', 'C. 10 eV', 'D. 100 eV']",C. 10 eV,college,physics
The primary source of the Sun’s energy is a series of thermonuclear reactions in which the energy produced is c^2 times the mass difference between,"['A. two hydrogen atoms and one helium atom', 'B. four hydrogen atoms and one helium atom', 'C. six hydrogen atoms and two helium atoms', 'D. three helium atoms and one carbon atom']",B. four hydrogen atoms and one helium atom,college,physics
"A 10 kg box slides horizontally without friction at a speed of 1 m/s. At one point, a constant force is applied to the box in the direction of its motion. The box travels 5 m with the constant force applied. The force is then removed, leaving the box with a speed of 2 m/s. Which of the following gives the magnitude of the applied force?","['A. 1 N', 'B. 2 N', 'C. 3 N', 'D. 4 N']",C. 3 N,college,physics
"A heat pump is to extract heat from an outdoor environment at 7°C and heat the environment indoors to 27°C. For each 15,000 J of heat delivered indoors, the smallest amount of work that must be supplied to the heat pump is approximately","['A. 500 J', 'B. 1,000 J', 'C. 1,100 J', 'D. 2,000 J']","B. 1,000 J",college,physics
Electromagnetic radiation provides a means to probe aspects of the physical universe. Which of the following statements regarding radiation spectra is NOT correct?,"['A. Lines in the infrared, visible, and ultraviolet regions of the spectrum reveal primarily the nuclear structure of the sample.', 'B. The wavelengths identified in an absorption spectrum of an element are among those in its emission spectrum.', 'C. Absorption spectra can be used to determine which elements are present in distant stars.', 'D. Spectral analysis can be used to identify the composition of galactic dust.']","A. Lines in the infrared, visible, and ultraviolet regions of the spectrum reveal primarily the nuclear structure of the sample.",college,physics
"A photon strikes an electron of mass m that is initially at rest, creating an electron-positron pair. The photon is destroyed and the positron and two electrons move off at equal speeds along the initial direction of the photon. The energy of the photon was","['A. mc^2', 'B. 2mc^2', 'C. 3mc^2', 'D. 4mc^2']",D. 4mc^2,college,physics
